language,Brand,Product,Asset Type,Size,Format,Headline1,Headline2,Headline3,Headline4,Headline5,Fince From,ENG Finance,Logo,Img1,Img2,Template,Price
EN,Hyundai ,IONIQ 5,Banner Ad,768x848 ,Static,Greatest Save Sales Event,The first-ever all-electric IONIQ 9,Introducing the all-new IONIQ 5,,,2.99%,"Finance from:
2.99%
Includes 0.5% loyalty rate reduction for qualiftying customers
+ $1,500 bomus on all 2026 IONIQ 9",,,,C:\Users\milad.moradi\Desktop\Hyundai\Content Factori_Hyundai Assets\Content Factori_Hyundai Assets\Hyundai Banner Ad_768x840_converted.indd,12.99$
EN,Hyundai ,IONIQ 5,Banner Ad,640x486 ,Static,Greatest Save Sales Event,The first-ever all-electric IONIQ 9,Introducing the all-new IONIQ 5,,,2.99%,"Finance from:
2.99%
Includes 0.5% loyalty rate reduction for qualiftying customers
+ $1,500 bomus on all 2026 IONIQ 9",,,,C:\Users\milad.moradi\Desktop\Hyundai\Content Factori_Hyundai Assets\Content Factori_Hyundai Assets\Hyundai Banner Ad_640x486_converted.indd,3.49$
EN,Hyundai ,IONIQ 5,Banner Ad,1920x710 ,Static,Greatest Save Sales Event,The first-ever all-electric IONIQ 9,Introducing the all-new IONIQ 5,,,2.99%,"Finance from:
2.99%
Includes 0.5% loyalty rate reduction for qualiftying customers
+ $1,500 bomus on all 2026 IONIQ 9",,,,C:\Users\milad.moradi\Desktop\Hyundai\Content Factori_Hyundai Assets\Content Factori_Hyundai Assets\Hyundai Banner Ad_1920x710_converted.indd,
EN,Hyundai ,IONIQ 5,Social Ad carousal,1080x1350,Carousel,The road to electrified adventure awaits.,Innovation at every turn.,Where cutting-edge tech meets comfort.,Every drive deserves a view.,When every seat is the best seat.,2.99%,,,,,C:\Users\milad.moradi\Desktop\Hyundai\Content Factori_Hyundai Assets\Content Factori_Hyundai Assets\Hyundai Banner Ad_640x486_converted.indd,
EN,Hyundai ,IONIQ 5,Social Ad carousal,1080x566,Carousel,The road to electrified adventure awaits.,Innovation at every turn.,Where cutting-edge tech meets comfort.,Every drive deserves a view.,When every seat is the best seat.,2.99%,,,,,C:\Users\milad.moradi\Desktop\Hyundai\Content Factori_Hyundai Assets\Content Factori_Hyundai Assets\Hyundai Banner Ad_640x486_converted.indd,
FR,Hyundai ,IONIQ 5,Banner Ad,768x848 ,Static,L'Événement Super Rabais,Le tout premier IONIQ 9 100 % électrique.,Voici le tout nouveau IONIQ 5.,,,"2,99 %","Financement à partir de : 
2,99 % 
Comprend une réduction du taux de fidélité de 0,5 % pour les clients admissibles 
+ 1 500 $ en prime sur tous les IONIQ 9 2026",,,,C:\Users\milad.moradi\Desktop\Hyundai\Content Factori_Hyundai Assets\Content Factori_Hyundai Assets\Hyundai Banner Ad_768x840_converted.indd,
FR,Hyundai ,IONIQ 5,Banner Ad,640x486 ,Static,L'Événement Super Rabais,Le tout premier IONIQ 9 100 % électrique.,Voici le tout nouveau IONIQ 5.,,,"2,99 %","Financement à partir de : 
2,99 % 
Comprend une réduction du taux de fidélité de 0,5 % pour les clients admissibles 
+ 1 500 $ en prime sur tous les IONIQ 9 2027",,,,C:\Users\milad.moradi\Desktop\Hyundai\Content Factori_Hyundai Assets\Content Factori_Hyundai Assets\Hyundai Banner Ad_640x486_converted.indd,
FR,Hyundai ,IONIQ 5,Banner Ad,1920x710 ,Static,L'Événement Super Rabais,Le tout premier IONIQ 9 100 % électrique.,Voici le tout nouveau IONIQ 5.,,,"2,99 %","Financement à partir de : 
2,99 % 
Comprend une réduction du taux de fidélité de 0,5 % pour les clients admissibles 
+ 1 500 $ en prime sur tous les IONIQ 9 2028",,,,C:\Users\milad.moradi\Desktop\Hyundai\Content Factori_Hyundai Assets\Content Factori_Hyundai Assets\Hyundai Banner Ad_1920x710_converted.indd,
FR,Hyundai ,IONIQ 5,Social Ad carousal,1080x1350,Carousel,La route de l'aventure électrifiée vous attend,L'innovation à chaque virage.,Où la haute technologie rencontre le confort.,Chaque trajet mérite une belle vue.,Quand chaque place est la meilleure.,"2,99 %",,,,,C:\Users\milad.moradi\Desktop\Hyundai\Content Factori_Hyundai Assets\Content Factori_Hyundai Assets\Hyundai Banner Ad_640x486_converted.indd,
FR,Hyundai ,IONIQ 5,Social Ad carousal,1080x566,Carousel,La route de l'aventure électrifiée vous attend,L'innovation à chaque virage.,Où la haute technologie rencontre le confort.,Chaque trajet mérite une belle vue.,Quand chaque place est la meilleure.,"2,99 %",,,,,C:\Users\milad.moradi\Desktop\Hyundai\Content Factori_Hyundai Assets\Content Factori_Hyundai Assets\Hyundai Banner Ad_640x486_converted.indd,
